feature_1,feature_2,spearman_corr
ct_ftp_cmd,is_ftp_login,1.0
ct_flw_http_mthd,trans_depth,0.9992756407329004
dwin,swin,0.9927466553137074
synack,tcprtt,0.9865515607902268
ackdat,tcprtt,0.97276140571299
dloss,dpkts,0.9599946860514545
dbytes,dpkts,0.9572027631941612
sinpkt,rate,-0.9568730480238077
dloss,dbytes,0.9412662247803671
ackdat,synack,0.9339200350499446
sloss,spkts,0.9320350932258613
sload,rate,0.927619279461208
sjit,sinpkt,0.922903812027847
sinpkt,sload,-0.9121232538311831
dpkts,spkts,0.9046801329543389
sjit,dinpkt,0.8820308200719377
sjit,rate,-0.8781626762589193
sjit,dur,0.8765330750866633
sloss,dpkts,0.8720424202407643
sbytes,spkts,0.8709473173828475
dloss,spkts,0.8648326015858931
sinpkt,dur,0.8598980435908875
dmean,dbytes,0.8550393775449566
